"AM SE","AM IA","AM TW","AP SE","AP IA","AP TW","AC SE","AC IA","AC TW","M SE","M IA","M TW","M ORAL","BEE SE","BEE IA","BEETW","BEE ORAL","EVS SE","EVS IA","W TW","GPA"
"69","20","21","39","14","21","36","14","20","38","16","24","22","56","19","23","23","37","09","41","8.33"
"37","15","17","35","12","21","36","10","17","34","14","16","18","32","10","21","19","37","13","38","6.35"
"59","19","24","25","13","22","20","10","22","36","18","22","22","37","18","24","21","43","10","44","7.26"
"60","19","20","34","12","22","30","11","24","53","11","24","15","32","18","23","22","38","10","43","7.67"
"58","20","20","29","12","22","33","14","23","52","15","23","23","32","18","23","22","36","12","43","7.7"
"54","19","22","37","11","21","40","14","21","41","16","22","23","32","16","24","23","35","14","43","7.44"
"50","20","24","34","09","23","38","14","21","42","15","24","18","38","18","23","22","30","13","43","7.3"
"45","20","18","25","12","18","33","11","16","64","16","21","24","38","19","24","23","36","11","36","7.43"
"79","20","24","20","10","25","32","13","24","32","20","24","18","45","20","23","23","24","10","42","7.44"
"38","20","21","32","14","20","29","10","18","51","17","22","22","44","19","19","21","34","12","35","7.22"
"53","19","20","31","12","21","39","12","22","43","17","24","21","35","19","23","22","25","11","40","7.41"
"73","20","19","32","14","21","36","12","17","58","18","21","21","35","20","20","22","27","11","42","8.17"
"43","09","17","27","11","19","26","08","19","38","08","21","21","42","17","20","21","34","11","39","6.44"
"56","17","20","36","09","20","29","10","19","32","13","18","20","52","19","17","19","26","15","36","7.13"
"77","19","24","38","13","22","55","13","22","61","17","23","23","39","18","23","21","37","11","44","8.67"
"60","20","23","37","07","23","36","14","22","53","14","23","22","32","18","24","22","28","09","45","7.7"
"74","20","21","29","11","22","37","13","20","54","17","24","24","36","20","24","23","35","09","43","7.96"
"50","20","17","24","12","20","30","10","16","32","15","18","19","49","14","13","19","42","13","36","6.69"
"64","20","23","24","13","23","25","14","25","40","15","22","21","34","20","24","22","29","10","44","7.37"
"42","18","21","39","14","20","30","12","21","49","12","21","18","54","19","24","23","31","12","42","7.7"
"39","19","19","33","09","22","24","11","19","39","11","22","20","24","12","24","18","26","07","39","6.2"
"58","20","20","35","11","21","35","12","21","32","14","24","20","32","19","22","23","42","13","39","7.44"
"77","20","24","26","12","22","29","12","24","56","16","21","23","48","16","23","15","24","09","43","7.81"
"76","20","22","44","15","24","45","15","24","58","18","23","24","62","20","24","18","40","14","41","9.56"
"76","20","25","41","14","24","40","15","25","71","20","24","24","57","20","23","18","44","14","42","9.33"
"64","20","21","33","12","23","34","11","25","32","17","22","20","41","15","24","15","36","10","40","7.56"
"74","20","25","47","14","25","32","14","24","65","19","24","20","48","20","24","17","34","11","40","9"
"48","19","19","31","08","20","25","12","21","47","09","23","20","45","17","24","23","37","11","39","7.04"
"45","14","19","24","11","20","26","09","16","32","10","20","20","37","16","21","20","33","09","39","6.13"
"39","12","19","41","08","22","37","09","19","41","12","18","21","37","11","22","21","27","10","38","6.72"
"63","20","19","32","12","21","25","13","21","44","13","21","20","47","18","21","20","36","11","39","7.59"
"42","13","18","24","11","19","37","11","18","32","10","22","18","32","14","18","12","25","11","37","5.91"
"54","18","22","19","11","22","29","11","23","37","10","23","17","32","15","24","14","24","10","42","6.52"
"65","20","22","36","14","22","31","14","23","41","17","23","21","38","20","24","14","30","12","41","7.67"
"70","19","22","33","13","21","30","12","22","47","18","23","22","52","18","24","18","39","12","41","8.15"
"56","17","22","30","14","22","35","11","22","24","15","23","16","36","20","24","17","27","12","37","6.74"
"70","19","22","39","12","21","43","12","21","60","19","23","22","56","20","24","18","32","11","41","8.81"
"74","20","21","24","08","21","42","10","22","56","18","24","22","42","17","24","17","34","11","45","7.81"
"32","17","19","29","11","20","24","11","18","50","13","22","22","32","16","20","15","29","08","37","6.3"
"55","19","20","26","12","21","34","09","21","35","11","21","23","49","20","23","17","20","10","42","7"
"67","19","24","31","14","24","46","15","22","56","17","23","23","54","20","24","20","39","13","40","8.78"
"47","13","23","31","11","22","30","12","24","44","17","23","15","45","20","23","16","37","12","41","7.37"
"66","20","22","24","11","22","24","13","22","46","16","23","21","32","12","24","17","30","09","45","7.15"
"63","20","18","35","12","20","34","09","18","36","16","19","20","38","19","22","22","40","11","41","7.52"
"55","20","18","26","10","20","27","09","17","33","14","21","18","50","19","19","17","33","13","38","6.83"
"50","18","20","24","09","21","33","09","20","32","11","21","20","33","18","23","14","24","08","37","6.07"
"54","16","20","26","10","21","26","09","17","36","09","20","18","24","19","19","12","30","10","37","6.13"
"65","17","21","29","12","23","26","11","22","50","13","22","22","36","14","24","23","42","11","42","7.7"
"59","20","17","24","07","18","24","10","17","34","16","15","18","35","17","18","15","31","08","40","6.57"
"0051","0019","0021","0045","0014","0023","0032","0014","0023","0071","0015","0023","0017","0061","0020","0024","0023","0031","0012","0044","8.96"
"0060","0019","0023","0044","0015","0023","0047","0014","0024","0066","0016","0022","0022","0061","0019","0024","0017","0038","0015","0045","9.59"
"0053","0020","0022","0040","0015","0024","0046","0014","0022","0053","0019","0024","0023","0046","0020","0023","0022","0042","0013","0042","8.52"
"0032","0014","0020","0036","0010","0024","0027","0012","0023","0057","0016","0023","0023","0041","0019","0023","0022","0032","0012","0044","7.37"
"0050","0018","0025","0040","0014","0024","0047","0014","0023","0052","0018","0024","0022","0061","0020","0024","0023","0041","0013","0046","8.81"
"0034","0018","0020","0027","0014","0022","0025","0011","0022","0044","00008","0023","0020","0044","0016","0023","0018","0033","0011","0043","6.93"
"0041","0017","0022","0032","0015","0023","0049","0014","0023","0049","0015","0023","0019","0064","0018","0024","0019","0042","0013","0044","8.37"
"0056","0017","0021","0050","0015","0024","0055","0013","0024","0066","0019","0024","0023","0059","0020","0023","0022","0044","0014","0041","9.48"
"0074","0018","0021","0037","0015","0023","0044","0013","0024","0076","0015","0024","0019","0069","0020","0024","0023","0034","0011","0044","9.33"
"0067","0019","0020","0040","0013","0022","0029","00008","0023","0044","0020","0023","0024","0045","0019","0023","0021","0042","0012","0044","8.07"
"0034","0020","0019","0029","0012","0022","0033","0011","0021","0049","0010","0024","0019","0051","0015","0023","0018","0030","00009","0043","7"
"0044","0018","0019","0033","0013","0023","0032","0012","0019","0060","0014","0022","0021","0044","0016","0023","0018","0029","0013","0045","7.61"
"0032","0017","0020","0040","0014","0023","0039","0012","0020","0056","0015","0024","0019","0053","0017","0024","0020","0030","0011","0043","7.74"
"0035","0016","0019","0034","0013","0021","0033","00008","0021","0052","0014","0023","0019","0040","0016","0023","0019","0038","0012","0043","7.22"
"0043","0015","0019","0041","0013","0023","0044","0012","0021","0064","0016","0023","0019","0048","0019","0023","0021","0043","0013","0042","8.33"
"0037","0015","0020","0032","0012","0021","0037","0011","0020","0046","0011","0021","0021","25","0014","0023","0018","0033","0012","0042","6.78"
"0049","0020","0021","0038","0014","0022","0039","0011","0022","0069","0020","0024","0020","0041","0020","0023","0023","0050","0012","0045","8.44"
"0046","0020","0024","0044","0015","0024","0046","0015","0023","0068","0020","0025","0024","0070","0020","0024","0022","0051","0014","0046","9.44"
"0067","0020","0021","0044","0014","0023","0048","0011","0022","0062","0017","0023","0021","0041","0020","0024","0022","0030","0012","0042","8.85"
"0046","0018","0023","0041","0015","0024","0035","0014","0022","0065","0019","0023","0024","0046","0020","0024","0024","0039","0014","0042","8.41"
"0054","0017","0023","0028","0015","0022","0045","0014","0022","0062","0020","0021","0021","0049","0020","0021","0021","0031","0013","0044","8.41"
"0066","0020","0021","0037","0015","0024","0046","0015","0023","0064","0020","0024","0024","0064","0020","0023","0023","0029","0014","0045","9.37"
"0057","0018","0024","0038","0014","0024","0029","0015","0024","0058","0014","0024","0021","0038","0019","0024","0022","0033","0011","0046","7.81"
"0077","0020","0023","0044","0014","0023","0047","0014","0020","0073","0019","0022","0022","0052","0020","0023","0020","0037","0015","0044","9.37"
"0048","0014","0021","0034","0012","0022","0028","0010","0021","0037","0010","0022","0017","0045","0019","0023","0017","0039","00009","0038","7.07"
"0064","0017","0024","0026","0013","0024","0035","0014","0022","0065","0019","0023","0023","0052","0020","0024","0021","0042","0011","0042","8.78"
"0053","0018","0021","0043","0014","0023","0040","0010","0024","0074","0020","0024","0023","0045","0018","0024","0022","0040","0012","0044","8.59"
"0061","0019","0023","0050","0015","0024","0036","0015","0024","0065","0019","0024","0022","0063","0018","0024","0021","0048","0014","0045","9.67"
"0068","0020","0025","0036","0015","0023","0040","0015","0022","0064","0019","0022","0020","0050","0018","0023","0015","0042","0014","0044","8.81"
"0044","0016","0018","0033","0011","0018","0033","00009","0021","0043","0015","0021","0021","0041","0010","0020","0016","0032","00009","0040","6.85"
"0059","0015","0023","0028","00008","0023","0024","0010","0021","0048","0012","0021","0021","0035","0014","0022","0016","0034","0014","0040","7.04"
"0054","0017","0019","0028","0011","0021","0032","0011","0020","0054","0015","0019","0023","0043","0018","0022","0015","0025","0010","0041","7.33"
"0045","0020","0024","0035","0015","0025","0047","0015","0022","0052","0019","0023","0019","0051","0020","0023","0021","0034","0014","0041","8.33"
"0033","0014","0022","0041","0011","0022","0038","0013","0020","0052","0014","0021","0022","0032","0016","0022","0022","0039","0015","0043","7.15"
"0039","0018","0024","0045","0014","0024","0043","0014","0022","0057","0016","0023","0022","0042","0020","0023","0021","0030","0014","0040","8.07"
"0038","0020","0024","0028","0013","0023","0045","0011","0020","0044","0018","0021","0021","0041","0018","0023","0021","0034","0013","0040","7.37"
"0045","0020","0023","0024","0013","0023","0025","0011","0022","0046","0016","0022","0022","0044","0017","0023","0018","0032","0010","0043","7.15"
"0039","0019","0024","0039","0015","0023","0039","0014","0024","0075","0018","0023","0020","0045","0020","0023","0022","0025","0014","0043","8.22"
"0070","0020","0023","0030","0014","0025","0042","0014","0024","0068","0020","0022","0023","0061","0019","0023","0023","0040","0014","0041","9.19"
"0053","0017","0022","0035","0013","0024","0038","0012","0022","0048","0016","0023","0022","0057","0020","0023","0021","0043","0011","0042","8.19"
"0059","0017","0023","0034","0013","0023","0027","0012","0023","0044","0016","0022","0018","0036","0017","0023","0015","0026","0011","0043","7.52"
"0032","0015","0024","0025","0010","0024","0032","0011","0021","0034","0012","0021","0020","0036","0017","0023","0016","0041","0013","0041","6.56"
"0041","0017","0024","0040","0013","0021","0045","0012","0022","0052","0016","0024","0019","0055","0019","0022","0018","0029","0012","0043","7.93"
"0042","0016","0024","0033","0013","0023","0042","0014","0022","0041","0017","0024","0018","0046","0018","0023","0016","0032","0012","0045","7.33"
"0032","0013","0018","0043","0011","0023","0042","0013","0021","0034","0011","0021","0020","0038","0018","0021","0015","0035","0011","0040","6.93"
"0050","0017","0024","0045","0014","0022","0038","0015","0022","0043","0016","0021","0015","0039","0015","0020","0021","0042","0012","0042","7.67"
"0044","0017","0023","0028","0011","0023","0035","0011","0022","0041","0014","0023","0017","0036","0015","0022","0018","0032","0011","0043","7.15"
"0065","0017","0020","0044","0014","0022","0041","0013","0023","0053","0017","0023","0022","0043","0019","0023","0023","0040","0015","0043","8.7"
"0033","0020","0020","0045","0015","0022","0041","0014","0024","0073","0018","0022","0021","0060","0017","0021","0023","0039","0012","0045","8.81"
"0049","0017","0023","0027","0015","0022","0043","0013","0022","0058","0017","0023","0022","0062","0020","0023","0021","0045","0013","0041","8.63"
"0047","0014","0021","0027","0014","0024","0031","0011","0022","0039","0016","0022","0020","0037","0018","0020","0019","0038","0011","0041","7.07"
